Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Chirpoi",,"Kuril Is","Caldera","46.53","150.88","742","POINT(150.88 46.53)",,,"246"
"Chokai",,"Honshu-Japan","Stratovolcanoes","39.1","140.05","2233","POINT(140.05 39.1)",,,"247"
"Ch'uga-ryong",,"Korea","Shield volcano","38.33","127.33","452","POINT(127.33 38.33)",,,"248"
"Churchill",,"Alaska-E","Stratovolcano","61.38","-141.75","5005","POINT(-141.75 61.38)",,,"249"
"Chyulu Hills",,"Africa-E","Volcanic field","-2.68","37.88","2188","POINT(37.88 -2.68)",,,"250"
"Ciguatepe, Cerro el",,"Nicaragua","Stratovolcano","12.53","-86.14","603","POINT(-86.14 12.53)",,,"251"
"Cinnamon Butte",,"US-Oregon","Cinder cones","43.24","-122.11","1956","POINT(-122.11 43.24)",,,"252"
"Cinotepeque, Cerro",,"El Salvador","Volcanic field","14.02","-89.25","665","POINT(-89.25 14.02)",,,"253"
"Clark",,"New Zealand","Submarine volcano","-36.45","177.84","-860","POINT(177.84 -36.45)",,,"254"
"Clear Lake",,"US-California","Volcanic field","38.97","-122.77","1439","POINT(-122.77 38.97)",,,"255"
"Cleft Segment",,"Pacific-NE","Submarine volcano","44.83","-130.3","-2140","POINT(-130.3 44.83)",,,"256"
"Cleveland",,"Aleutian Is","Stratovolcano","52.83","-169.94","1730","POINT(-169.94 52.83)",,,"257"
"Coatepeque Caldera",,"El Salvador","Caldera","13.87","-89.55","746","POINT(-89.55 13.87)",,,"258"
"CoAxial Segment",,"Pacific-NE","Submarine volcano","46.52","-129.58","-2400","POINT(-129.58 46.52)",,,"259"
"Cobb Segment",,"Pacific-NE","Submarine volcano","46.88","-129.33","-2100","POINT(-129.33 46.88)",,,"260"
"Cochiquito Volc Group",,"Argentina","Stratovolcanoes","-36.77","-69.82","1435","POINT(-69.82 -36.77)",,,"261"
"Cochons, Ile aux",,"Indian O.-S","Stratovolcano","-46.1","50.23","775","POINT(50.23 -46.1)",,,"262"
"Cofre de Perote",,"México","Shield volcanoes","19.49","-97.15","4282","POINT(-97.15 19.49)",,,"263"
"Colachi",,"Chile-N","Stratovolcano","-23.24","-67.65","5631","POINT(-67.65 -23.24)",,,"264"
"Colima",,"México","Stratovolcanoes","19.51","-103.62","3850","POINT(-103.62 19.51)",,,"265"
"Colo [Una Una]",,"Sulawesi-Indonesia","Stratovolcano","-0.17","121.61","507","POINT(121.61 -0.17)",,,"266"
"Comondú-La Purísima",,"México","Volcanic field","26","-111.92","780","POINT(-111.92 26)",,,"267"
"Concepción",,"Nicaragua","Stratovolcano","11.54","-85.62","1700","POINT(-85.62 11.54)",,,"268"
"Conchagua",,"El Salvador","Stratovolcano","13.28","-87.85","1225","POINT(-87.85 13.28)",,,"269"
"Conchagüita",,"El Salvador","Stratovolcano","13.23","-87.77","505","POINT(-87.77 13.23)",,,"270"
"Cóndor, Cerro el",,"Argentina","Stratovolcano","-26.62","-68.35","6532","POINT(-68.35 -26.62)",,,"271"
"Copahue",,"Chile-C","Stratovolcano","-37.85","-71.17","2997","POINT(-71.17 -37.85)",,,"272"
"Copiapó",,"Chile-N","Stratovolcano","-27.3","-69.13","6052","POINT(-69.13 -27.3)",,,"273"
"Corbetti Caldera",,"Ethiopia","Caldera","7.18","38.43","2320","POINT(38.43 7.18)",,,"274"
"Corcovado",,"Chile-S","Stratovolcano","-43.18","-72.8","2300","POINT(-72.8 -43.18)",,,"275"
"Cordón de Puntas Negras",,"Chile-N","Stratovolcanoes","-23.74","-67.53","5852","POINT(-67.53 -23.74)",,,"276"
"Cordón del Azufre",,"Chile-N","Complex volcano","-25.33","-68.52","5463","POINT(-68.52 -25.33)",,,"277"
"Coronado",,"México","Stratovolcano","29.08","-113.51","440","POINT(-113.51 29.08)",,,"278"
"Coropuna",,"Perú","Stratovolcano","-15.52","-72.65","6377","POINT(-72.65 -15.52)",,,"279"
"Corvo",,"Azores","Stratovolcano","39.7","-31.11","718","POINT(-31.11 39.7)",,,"280"
"Cosigüina",,"Nicaragua","Stratovolcano","12.98","-87.57","872","POINT(-87.57 12.98)",,,"281"
"Coso Volc Field",,"US-California","Lava domes","36.03","-117.82","2400","POINT(-117.82 36.03)",,,"282"
"Cotopaxi",,"Ecuador","Stratovolcano","-0.68","-78.44","5911","POINT(-78.44 -0.68)",,,"283"
"Crater Basalt Volc Field",,"Chile-S/Argentina","Cinder cones","-42.02","-70.18","1359","POINT(-70.18 -42.02)",,,"284"
"Crater Lake",,"US-Oregon","Caldera","42.93","-122.12","2487","POINT(-122.12 42.93)",,,"285"
"Crater Mountain",,"New Guinea","Stratovolcano","-6.58","145.08","3233","POINT(145.08 -6.58)",,,"286"
"Craters of the Moon",,"US-Idaho","Cinder cones","43.42","-113.5","2005","POINT(-113.5 43.42)",,,"287"
"Crow Lagoon",,"Canada","Pyroclastic cone","54.7","-130.23","335","POINT(-130.23 54.7)",,,"288"
"Gufa",,"Ethiopia","Volcanic field","12.55","42.53","600","POINT(42.53 12.55)",,,"289"
"Cuernos de Negros",,"Philippines-C","Complex volcano","9.25","123.17","1862","POINT(123.17 9.25)",,,"290"
"Cuernos del Diablo",,"Chile-S","Stratovolcano","-41.4","-72","1862","POINT(-72 -41.4)",,,"291"
"Cuicocha",,"Ecuador","Caldera","0.31","-78.36","3246","POINT(-78.36 0.31)",,,"292"
"Cuilapa-Barbarena",,"Guatemala","Volcanic field","14.33","-90.4","1454","POINT(-90.4 14.33)",,,"293"
"Cù-Lao Ré Group",,"SE Asia","Volcanic field","15.38","109.12","181","POINT(109.12 15.38)",,,"294"
"Cumbal",,"Colombia","Stratovolcano","0.95","-77.87","4764","POINT(-77.87 0.95)",,,"295"
"Cumbres,  Las",,"México","Stratovolcano","19.15","-97.27","3940","POINT(-97.27 19.15)",,,"296"
"Curacoa",,"Tonga-SW Pacific","Submarine volcano","-15.62","-173.67","-33","POINT(-173.67 -15.62)",,,"297"
"Curtis Island",,"Kermadec Is","Submarine volcano","-30.54","-178.56","137","POINT(-178.56 -30.54)",,,"298"
"Dabbahu",,"Ethiopia","Stratovolcano","12.6","40.48","1442","POINT(40.48 12.6)",,,"299"
"Dabbayra",,"Ethiopia","Shield volcano","12.38","40.07","1302","POINT(40.07 12.38)",,,"300"
"Dacht-i-Navar Group",,"Afghanistan","Lava domes","33.95","67.92","3800","POINT(67.92 33.95)",,,"301"
"Daikoku",,"Volcano Is-Japan","Submarine volcano","21.32","144.19","-323","POINT(144.19 21.32)",,,"302"
"Daisetsu",,"Hokkaido-Japan","Stratovolcanoes","43.66","142.86","2290","POINT(142.86 43.66)",,,"303"
"Dakataua",,"New Britain-SW Pac","Caldera","-5.06","150.11","400","POINT(150.11 -5.06)",,,"304"
"Dalaffilla",,"Ethiopia","Stratovolcano","13.79","40.55","613","POINT(40.55 13.79)",,,"305"
"Dallol",,"Ethiopia","Explosion craters","14.24","40.3","-48","POINT(40.3 14.24)",,,"306"
"Dama Ali",,"Ethiopia","Shield volcano","11.28","41.63","1068","POINT(41.63 11.28)",,,"307"
"Damavand",,"Iran","Stratovolcano","35.95","52.11","5670","POINT(52.11 35.95)",,,"308"
"Dana",,"Alaska Peninsula","Stratovolcano","55.64","-161.21","1354","POINT(-161.21 55.64)",,,"309"
"Dar-Alages",,"Armenia","Pyroclastic cones","39.7","45.54","3329","POINT(45.54 39.7)",,,"310"
"Dariganga Volc Field",,"Mongolia","Cinder cones","45.33","114","1778","POINT(114 45.33)",,,"311"
"Darwin",,"Galápagos","Shield volcano","-0.18","-91.28","1330","POINT(-91.28 -0.18)",,,"312"
"Daun, Bukit",,"Sumatra","Stratovolcanoes","-3.38","102.37","2467","POINT(102.37 -3.38)",,,"313"
"Davidof",,"Aleutian Is","Stratovolcano","51.97","178.33","328","POINT(178.33 51.97)",,,"314"
"Davis Lake",,"US-Oregon","Volcanic field","43.57","-121.82","2163","POINT(-121.82 43.57)",,,"315"
"Dawson Strait Group",,"D'Entrecasteaux Is","Volcanic field","-9.62","150.88","500","POINT(150.88 -9.62)",,,"316"
"Deception Island",,"Antarctica","Caldera","-62.97","-60.65","576","POINT(-60.65 -62.97)",,,"317"
"Demon",,"Kuril Is","Stratovolcano","45.5","148.85","1205","POINT(148.85 45.5)",,,"318"
"Dempo",,"Sumatra","Stratovolcano","-4.03","103.13","3173","POINT(103.13 -4.03)",,,"319"
"Denison",,"Alaska Peninsula","Stratovolcano","58.42","-154.45","2287","POINT(-154.45 58.42)",,,"320"
"Descabezado Grande",,"Chile-C","Stratovolcanoes","-35.58","-70.75","3953","POINT(-70.75 -35.58)",,,"321"
"Devils Garden",,"US-Oregon","Volcanic field","43.51","-120.86","1698","POINT(-120.86 43.51)",,,"322"
"Devils Tower",,"US-Wyoming","Volcanic Landform","44.6","-104.7","1558","POINT(-104.7 44.6)",,,"323"
"Dhamar, Harras of",,"Arabia-S","Volcanic field","14.57","44.67","3500","POINT(44.67 14.57)",,,"324"
"Diables, Morne aux",,"W Indies","Stratovolcano","15.61","-61.43","861","POINT(-61.43 15.61)",,,"325"
"Diablotins, Morne",,"W Indies","Stratovolcano","15.5","-61.4","1430","POINT(-61.4 15.5)",,,"326"
"Diamond Craters",,"US-Oregon","Volcanic field","43.1","-118.75","1435","POINT(-118.75 43.1)",,,"327"
"Didicas",,"Luzon-N of","Compound volcano","19.08","122.2","228","POINT(122.2 19.08)",,,"328"
"Dieng Volc Complex",,"Java","Complex volcano","-7.2","109.92","2565","POINT(109.92 -7.2)",,,"329"
"Diky Greben",,"Kamchatka","Lava domes","51.45","156.97","1070","POINT(156.97 51.45)",,,"330"
"Dofen",,"Ethiopia","Stratovolcano","9.35","40.13","1151","POINT(40.13 9.35)",,,"331"
"Doma Peaks",,"New Guinea","Stratovolcano","-5.9","143.15","3568","POINT(143.15 -5.9)",,,"332"
"Domuyo",,"Argentina","Stratovolcano","-36.58","-70.42","4709","POINT(-70.42 -36.58)",,,"333"
"Don Joao de Castro Bank",,"Azores","Submarine volcano","38.23","-26.63","-13","POINT(-26.63 38.23)",,,"334"
"Doña Juana",,"Colombia","Stratovolcano","1.47","-76.92","4150","POINT(-76.92 1.47)",,,"335"
"Dotsero",,"US-Colorado","Maar","39.66","-107.04","2230","POINT(-107.04 39.66)",,,"336"
"Douglas",,"Alaska Peninsula","Stratovolcano","58.86","-153.54","2140","POINT(-153.54 58.86)",,,"337"
"Doyo Seamount",,"Izu Is-Japan","Submarine volcano","27.68","140.8","-860","POINT(140.8 27.68)",,,"338"
"Druze, Jabal ad",,"Syria","Volcanic field","32.66","36.43","1803","POINT(36.43 32.66)",,,"339"
"Dubbi",,"Ethiopia","Stratovolcano","13.58","41.81","1625","POINT(41.81 13.58)",,,"340"
"Dukono",,"Halmahera-Indonesia","Complex volcano","1.68","127.88","1335","POINT(127.88 1.68)",,,"341"
"Duncan Canal",,"Alaska-E","Volcanic field","56.5","-133.1","15","POINT(-133.1 56.5)",,,"342"
"Durango Volc Field",,"México","Cinder cones","24.15","-104.45","2075","POINT(-104.45 24.15)",,,"343"
"Dutton",,"Alaska Peninsula","Stratovolcano","55.17","-162.27","1506","POINT(-162.27 55.17)",,,"344"
"Dzenzursky",,"Kamchatka","Compound volcano","53.64","158.92","2285","POINT(158.92 53.64)",,,"345"
"Eagle Lake Field",,"US-California","Fissure vents","40.63","-120.83","1652","POINT(-120.83 40.63)",,,"346"
"East Diamante",,"Mariana Is-C Pacific","Submarine volcano","15.93","145.67","-127","POINT(145.67 15.93)",,,"347"
"East Zway",,"Ethiopia","Fissure vents","7.95","38.93","1889","POINT(38.93 7.95)",,,"348"
"Easter Island",,"Chile-Is","Shield volcanoes","-27.15","-109.38","511","POINT(-109.38 -27.15)",,,"349"
"Eastern Gemini Seamount",,"SW Pacific","Submarine volcano","-20.98","170.28","-80","POINT(170.28 -20.98)",,,"350"
"Ebeko",,"Kuril Is","Somma volcano","50.68","156.02","1156","POINT(156.02 50.68)",,,"351"
"Ebulobo",,"Lesser Sunda Is","Stratovolcano","-8.82","121.18","2124","POINT(121.18 -8.82)",,,"352"
"Eburru, Ol Doinyo",,"Africa-E","Complex volcano","-0.65","36.22","2856","POINT(36.22 -0.65)",,,"353"
"Ecuador",,"Galápagos","Shield volcano","-0.02","-91.55","790","POINT(-91.55 -0.02)",,,"354"
"Edgecumbe",,"Alaska-E","Stratovolcanoes","57.05","-135.75","970","POINT(-135.75 57.05)",,,"355"
"Edziza",,"Canada","Stratovolcano","57.72","-130.63","2786","POINT(-130.63 57.72)",,,"356"
"Eggella",,"Kamchatka","Shield volcano","56.57","158.52","1046","POINT(158.52 56.57)",,,"357"
"Egmont [Taranaki]",,"New Zealand","Stratovolcano","-39.3","174.07","2518","POINT(174.07 -39.3)",,,"358"
"Egon",,"Lesser Sunda Is","Stratovolcano","-8.67","122.45","1703","POINT(122.45 -8.67)",,,"359"
"Ekarma",,"Kuril Is","Stratovolcano","48.96","153.93","1170","POINT(153.93 48.96)",,,"360"
"Elbrus",,"Russia-SW","Stratovolcano","43.33","42.45","5633","POINT(42.45 43.33)",,,"361"
"Elmenteita Badlands",,"Africa-E","Pyroclastic cones","-0.52","36.27","2126","POINT(36.27 -0.52)",,,"362"
"Elovsky",,"Kamchatka","Shield volcanoes","57.55","160.53","1381","POINT(160.53 57.55)",,,"363"
"Emmons Lake",,"Alaska Peninsula","Caldera","55.34","-162.08","1436","POINT(-162.08 55.34)",,,"364"
"Emperor of China",,"Banda Sea","Submarine volcano ?","-6.62","124.22","-2850","POINT(124.22 -6.62)",,,"365"
"Emuruangogolak",,"Africa-E","Shield volcano","1.5","36.33","1328","POINT(36.33 1.5)",,,"366"
"Endeavour Ridge",,"Pacific-NE","Submarine volcano","47.95","-129.1","-2050","POINT(-129.1 47.95)",,,"367"
"Epi",,"Vanuatu-SW Pacific","Stratovolcanoes","-16.68","168.37","833","POINT(168.37 -16.68)",,,"368"
"Erciyes Dagi",,"Turkey","Stratovolcano","38.52","35.48","3916","POINT(35.48 38.52)",,,"369"
"Erebus",,"Antarctica","Stratovolcano","-77.53","167.17","3794","POINT(167.17 -77.53)",,,"370"
"Erta Ale",,"Ethiopia","Shield volcano","13.6","40.67","613","POINT(40.67 13.6)",,,"371"
"Es Safa",,"Syria","Volcanic field","33.25","37.07","979","POINT(37.07 33.25)",,,"372"
"E-san",,"Hokkaido-Japan","Stratovolcano","41.8","141.17","618","POINT(141.17 41.8)",,,"373"
"Escanaba Segment",,"Pacific-NE","Submarine volcano","40.98","-127.5","-1700","POINT(-127.5 40.98)",,,"374"
"Escorial, Cerro",,"Chile-N","Stratovolcano","-25.08","-68.37","5447","POINT(-68.37 -25.08)",,,"375"
"Esjufjöll",,"Iceland-SE","Stratovolcano","64.27","-16.65","1760","POINT(-16.65 64.27)",,,"376"
"Esmeralda Bank",,"Mariana Is-C Pacific","Submarine volcano","15","145.25","-43","POINT(145.25 15)",,,"377"
"Est, Ile de l'",,"Indian O.-S","Stratovolcano","-46.43","52.2","1090","POINT(52.2 -46.43)",,,"378"
"Estelí",,"Nicaragua","Fissure vents","13.17","-86.4","899","POINT(-86.4 13.17)",,,"379"
"Etna",,"Italy","Stratovolcanoes","37.73","15","3330","POINT(15 37.73)",,,"380"
"Eyjafjöll",,"Iceland-S","Stratovolcano","63.63","-19.62","1666","POINT(-19.62 63.63)",,,"381"
"Fagradalsfjall",,"Iceland-S","Shield volcano","63.8885","-22.2695","385","POINT(-22.2695 63.8885)","https://en.wikipedia.org/wiki/Fagradalsfjall","Added 2021-03-22","382"
"Falcon Island",,"Tonga-SW Pacific","Submarine volcano","-20.32","-175.42","-17","POINT(-175.42 -20.32)",,,"383"
"Falso Azufre",,"Chile-N","Complex volcano","-26.8","-68.37","5890","POINT(-68.37 -26.8)",,,"384"
"Farallon de Pajaros",,"Mariana Is-C Pacific","Stratovolcano","20.54","144.9","360","POINT(144.9 20.54)",,,"385"
"Fayal",,"Azores","Stratovolcano","38.6","-28.73","1043","POINT(-28.73 38.6)",,,"386"
"Fedotych",,"Kamchatka","Shield volcano","57.13","160.4","965","POINT(160.4 57.13)",,,"387"
"Fentale",,"Ethiopia","Stratovolcano","8.98","39.93","2007","POINT(39.93 8.98)",,,"388"
"Fernandina",,"Galápagos","Shield volcano","-0.37","-91.55","1476","POINT(-91.55 -0.37)",,,"389"
"Fisher",,"Aleutian Is","Stratovolcano","54.65","-164.43","1112","POINT(-164.43 54.65)",,,"390"
"Flores",,"Guatemala","Volcanic field","14.31","-89.99","1600","POINT(-89.99 14.31)",,,"391"
"Flores",,"Azores","Stratovolcanoes","39.46","-31.22","914","POINT(-31.22 39.46)",,,"392"
"Fogo",,"Cape Verde Is","Stratovolcano","14.95","-24.35","2829","POINT(-24.35 14.95)",,,"393"
"Fonualei",,"Tonga-SW Pacific","Stratovolcano","-18.02","-174.33","180","POINT(-174.33 -18.02)",,,"394"
"Fort Portal Field",,"Africa-C","Tuff cones","0.7","30.25","1524","POINT(30.25 0.7)",,,"395"
"Fort Rock",,"US-Oregon","Tuff cones","43.3","-121","1716","POINT(-121 43.3)",,,"396"
"Fort Selkirk",,"Canada","Volcanic field","62.93","-137.38","1239","POINT(-137.38 62.93)",,,"397"
"Four Craters Lava Field",,"US-Oregon","Volcanic field","43.36","-120.67","1501","POINT(-120.67 43.36)",,,"398"
"Fournaise, Piton de la",,"Indian O.-W","Shield volcano","-21.23","55.71","2632","POINT(55.71 -21.23)",,,"399"
"Fourpeaked",,"Alaska Peninsula","Stratovolcano","58.77","-153.67","2105","POINT(-153.67 58.77)",,,"400"
"Fremrinamur",,"Iceland-NE","Stratovolcano","65.43","-16.65","939","POINT(-16.65 65.43)",,,"401"
"Frosty",,"Alaska Peninsula","Stratovolcanoes","55.08","-162.81","2012","POINT(-162.81 55.08)",,,"402"
"Fuego",,"Guatemala","Stratovolcano","14.47","-90.88","3763","POINT(-90.88 14.47)",,,"403"
"Fueguino",,"Chile-S","Lava domes","-54.95","-70.25","150","POINT(-70.25 -54.95)",,,"404"
"Petacas",,"Colombia","Lava dome","1.57","-76.78","4054","POINT(-76.78 1.57)",,,"405"
"Fuerteventura",,"Canary Is","Fissure vents","28.36","-14.02","529","POINT(-14.02 28.36)",,,"406"
"Fuji",,"Honshu-Japan","Stratovolcano","35.36","138.73","3776","POINT(138.73 35.36)",,,"407"
"Fukue-jima",,"Kyushu-Japan","Shield volcanoes","32.65","128.85","317","POINT(128.85 32.65)",,,"408"
"Fukujin",,"Volcano Is-Japan","Submarine volcano","21.93","143.47","-217","POINT(143.47 21.93)",,,"409"
"Fukutoku-Okanoba",,"Volcano Is-Japan","Submarine volcano","24.28","141.49","-14","POINT(141.49 24.28)",,,"410"
"Furnas",,"Azores","Stratovolcano","37.77","-25.32","805","POINT(-25.32 37.77)",,,"411"
"Fuss Peak",,"Kuril Is","Stratovolcano","50.27","155.25","1772","POINT(155.25 50.27)",,,"412"
"Gabillema",,"Ethiopia","Stratovolcano","11.08","41.27","1459","POINT(41.27 11.08)",,,"413"
"Gada Ale",,"Ethiopia","Stratovolcano","13.98","40.41","287","POINT(40.41 13.98)",,,"414"
"Gaja-jima",,"Ryukyu Is","Stratovolcano","29.9","129.54","497","POINT(129.54 29.9)",,,"415"
"Galápagos Rift",,"Pacific-E","Submarine volcano","0.79","-86.15","-2430","POINT(-86.15 0.79)",,,"416"
"Galeras",,"Colombia","Complex volcano","1.22","-77.37","4276","POINT(-77.37 1.22)",,,"417"
"Gallego",,"Solomon Is-SW Pacific","Volcanic field","-9.35","159.73","1000","POINT(159.73 -9.35)",,,"418"
"Galunggung",,"Java","Stratovolcano","-7.25","108.06","2168","POINT(108.06 -7.25)",,,"419"
"Gamalama",,"Halmahera-Indonesia","Stratovolcanoes","0.8","127.33","1715","POINT(127.33 0.8)",,,"420"
"Gamchen",,"Kamchatka","Complex volcano","54.97","160.7","2576","POINT(160.7 54.97)",,,"421"
"Gamkonora",,"Halmahera-Indonesia","Stratovolcano","1.38","127.53","1635","POINT(127.53 1.38)",,,"422"
"Garbuna Group",,"New Britain-SW Pac","Stratovolcanoes","-5.45","150.03","564","POINT(150.03 -5.45)",,,"423"
"Gareloi",,"Aleutian Is","Stratovolcano","51.79","-178.79","1573","POINT(-178.79 51.79)",,,"424"
"Garibaldi",,"Canada","Stratovolcano","49.85","-123","2678","POINT(-123 49.85)",,,"425"
"Garibaldi Lake",,"Canada","Volcanic field","49.92","-123.03","2316","POINT(-123.03 49.92)",,,"426"
"Garove",,"New Britain-SW Pac","Stratovolcano","-4.69","149.5","368","POINT(149.5 -4.69)",,,"427"
"Garua Harbour",,"New Britain-SW Pac","Volcanic field","-5.3","150.07","565","POINT(150.07 -5.3)",,,"428"
"Gaua",,"Vanuatu-SW Pacific","Stratovolcano","-14.27","167.5","797","POINT(167.5 -14.27)",,,"429"
"Gedamsa Caldera",,"Ethiopia","Caldera","8.35","39.18","1984","POINT(39.18 8.35)",,,"430"
"Gede",,"Java","Stratovolcano","-6.78","106.98","2958","POINT(106.98 -6.78)",,,"431"
"Genovesa",,"Galápagos","Shield volcano","0.32","-89.96","64","POINT(-89.96 0.32)",,,"432"
"Geodesistoy",,"Kamchatka","Shield volcano","56.33","158.67","1170","POINT(158.67 56.33)",,,"433"
"Ghegam Ridge",,"Armenia","Volcanic field","40.28","44.75","3597","POINT(44.75 40.28)",,,"434"
"Giggenbach",,"Kermadec Is","Submarine volcano","-30.04","-178.71","-65","POINT(-178.71 -30.04)",,,"435"
"Glacier Peak",,"US-Washington","Stratovolcano","48.11","-121.11","3213","POINT(-121.11 48.11)",,,"436"
"Gloria, La",,"México","Volcanic field","19.33","-97.25","3500","POINT(-97.25 19.33)",,,"437"
"Golan Heights",,"Syria","Volcanic field","33.1","35.97","1197","POINT(35.97 33.1)",,,"438"
"Golaya",,"Kamchatka","Stratovolcano","52.26","157.79","858","POINT(157.79 52.26)",,,"439"
"Golden Trout Creek",,"US-California","Volcanic field","36.36","-118.32","2886","POINT(-118.32 36.36)",,,"440"
"Golets-Tornyi Group",,"Kuril Is","Pyroclastic cones","45.25","148.35","442","POINT(148.35 45.25)",,,"441"
"Göllü Dag",,"Turkey","Lava dome","38.25","34.57","2143","POINT(34.57 38.25)",,,"442"
"Golovnin",,"Kuril Is","Caldera","43.84","145.51","543","POINT(145.51 43.84)",,,"443"
"Goodenough",,"D'Entrecasteaux Is","Volcanic field","-9.48","150.35","220","POINT(150.35 -9.48)",,,"444"
"Gordon",,"Alaska-E","Cinder cones","62.13","-143.08","2755","POINT(-143.08 62.13)",,,"445"
"Gorely",,"Kamchatka","Caldera","52.56","158.03","1829","POINT(158.03 52.56)",,,"446"
"Goriaschaia Sopka",,"Kuril Is","Stratovolcano","46.83","151.75","891","POINT(151.75 46.83)",,,"447"
"Gorny Institute",,"Kamchatka","Stratovolcano","57.33","160.2","2125","POINT(160.2 57.33)",,,"448"
"Graciosa",,"Azores","Stratovolcano","39.02","-27.97","402","POINT(-27.97 39.02)",,,"449"
"Gran Canaria",,"Canary Is","Fissure vents","28","-15.58","1950","POINT(-15.58 28)",,,"450"
"Granada",,"Nicaragua","Fissure vents","11.92","-85.98","300","POINT(-85.98 11.92)",,,"451"
"Great Sitkin",,"Aleutian Is","Stratovolcano","52.08","-176.13","1740","POINT(-176.13 52.08)",,,"452"
"Griggs",,"Alaska Peninsula","Stratovolcano","58.35","-155.09","2317","POINT(-155.09 58.35)",,,"453"
"Grille, La",,"Indian O.-W","Shield volcano","-11.47","43.33","1087","POINT(43.33 -11.47)",,,"454"
"Grímsnes",,"Iceland-SW","Crater rows","64.03","-20.87","214","POINT(-20.87 64.03)",,,"455"
"Grímsvötn",,"Iceland-NE","Caldera","64.42","-17.33","1725","POINT(-17.33 64.42)",,,"456"
"Groppo",,"Ethiopia","Stratovolcano","11.73","40.25","930","POINT(40.25 11.73)",,,"457"
"Grozny Group",,"Kuril Is","Complex volcanoes","45.03","147.92","1211","POINT(147.92 45.03)",,,"458"
"Guadalupe",,"México","Shield volcano","29.07","-118.28","1100","POINT(-118.28 29.07)",,,"459"
"Guagua Pichincha",,"Ecuador","Stratovolcano","-0.17","-78.6","4784","POINT(-78.6 -0.17)",,,"460"
"Guallatiri",,"Chile-N","Stratovolcano","-18.42","-69.09","6071","POINT(-69.09 -18.42)",,,"461"
"Guayaques",,"Chile-N","Lava domes","-22.9","-67.57","5598","POINT(-67.57 -22.9)",,,"462"
"Guazapa",,"El Salvador","Stratovolcano","13.9","-89.12","1438","POINT(-89.12 13.9)",,,"463"
"Guguan",,"Mariana Is-C Pacific","Stratovolcano","17.31","145.85","287","POINT(145.85 17.31)",,,"464"
"Guntur",,"Java","Complex volcano","-7.14","107.84","2249","POINT(107.84 -7.14)",,,"465"
"Gunungapi Wetar",,"Banda Sea","Stratovolcano","-6.64","126.65","282","POINT(126.65 -6.64)",,,"466"
"Hachijo-jima",,"Izu Is-Japan","Stratovolcanoes","33.13","139.77","854","POINT(139.77 33.13)",,,"467"
"Hachimantai",,"Honshu-Japan","Stratovolcano","39.96","140.86","1614","POINT(140.86 39.96)",,,"468"
"Hakkoda Group",,"Honshu-Japan","Stratovolcanoes","40.66","140.88","1585","POINT(140.88 40.66)",,,"469"
"Hakone",,"Honshu-Japan","Complex volcano","35.23","139.02","1438","POINT(139.02 35.23)",,,"470"
"Haku-san",,"Honshu-Japan","Stratovolcano","36.15","136.77","2702","POINT(136.77 36.15)",,,"471"
"Haleakala",,"Hawaiian Is","Shield volcano","20.71","-156.25","3055","POINT(-156.25 20.71)",,,"472"
"Halla",,"Korea","Shield volcano","33.37","126.53","1950","POINT(126.53 33.37)",,,"473"
"Hanish",,"Red Sea","Shield volcano","13.72","42.73","422","POINT(42.73 13.72)",,,"474"
"Hargy",,"New Britain-SW Pac","Stratovolcano","-5.33","151.1","1148","POINT(151.1 -5.33)",,,"475"
"Harrah, Al",,"Arabia-W","Volcanic field","31.08","38.42","1100","POINT(38.42 31.08)",,,"476"
"Haruj",,"Africa-N","Volcanic field","27.25","17.5","1200","POINT(17.5 27.25)",,,"477"
"Haruna",,"Honshu-Japan","Stratovolcano","36.47","138.88","1449","POINT(138.88 36.47)",,,"478"
"Hasan Dagi",,"Turkey","Stratovolcano","38.13","34.17","3253","POINT(34.17 38.13)",,,"479"
"Haut Dong Nai",,"SE Asia","Volcanic field","11.6","108.2","1000","POINT(108.2 11.6)",,,"480"
"Hayes",,"Alaska-SW","Stratovolcano","61.64","-152.41","3034","POINT(-152.41 61.64)",,,"481"
"Haylan, Jabal",,"Arabia-S","Volcanic field","15.43","44.78","1550","POINT(44.78 15.43)",,,"482"
"Hayli Gubbi",,"Ethiopia","Shield volcano","13.5","40.72","521","POINT(40.72 13.5)",,,"483"
"Healy",,"New Zealand","Submarine volcano","-35","178.97","980","POINT(178.97 -35)",,,"484"
"Heard",,"Indian O.-S","Stratovolcano","-53.11","73.51","2745","POINT(73.51 -53.11)",,,"485"
"Heart Peaks",,"Canada","Shield volcano","58.6","-131.97","2012","POINT(-131.97 58.6)",,,"486"
"Hekla",,"Iceland-S","Stratovolcano","63.98","-19.7","1491","POINT(-19.7 63.98)",,,"487"
"Hell's Half Acre",,"US-Idaho","Shield volcano","43.5","-112.45","1631","POINT(-112.45 43.5)",,,"488"
"Hengill",,"Iceland-SW","Crater rows","64.18","-21.33","803","POINT(-21.33 64.18)",,,"489"
"Herbert",,"Aleutian Is","Stratovolcano","52.74","-170.11","1280","POINT(-170.11 52.74)",,,"490"
"Hertali",,"Ethiopia","Fissure vent","9.78","40.33","900","POINT(40.33 9.78)",,,"491"
