Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Traitor's Head",,"Vanuatu-SW Pacific","Stratovolcano","-18.75","169.23","837","POINT(169.23 -18.75)",,,"1327"
"Tres Vírgenes",,"México","Stratovolcanoes","27.47","-112.59","1940","POINT(-112.59 27.47)",,,"1328"
"Tri Sestry",,"Kuril Is","Stratovolcano","45.93","149.92","998","POINT(149.92 45.93)",,,"1329"
"Trident",,"Alaska Peninsula","Stratovolcano","58.24","-155.1","1864","POINT(-155.1 58.24)",,,"1330"
"Trindade",,"Atlantic-C","Stratovolcano","-20.51","-29.33","600","POINT(-29.33 -20.51)",,,"1331"
"Tristan da Cunha",,"Atlantic-S","Shield volcano","-37.09","-12.28","2060","POINT(-12.28 -37.09)",,,"1332"
"Trocon",,"Argentina","Lava domes","-37.73","-70.9","2500","POINT(-70.9 -37.73)",,,"1333"
"Trois Pitons, Morne",,"W Indies","Complex volcano","15.37","-61.33","1387","POINT(-61.33 15.37)",,,"1334"
"Tromen",,"Argentina","Stratovolcanoes","-37.14","-70.03","3978","POINT(-70.03 -37.14)",,,"1335"
"Tronador",,"Chile-S","Stratovolcano","-41.16","-71.89","3491","POINT(-71.89 -41.16)",,,"1336"
"Tseax River Cone",,"Canada","Pyroclastic cone","55.12","-128.9","609","POINT(-128.9 55.12)",,,"1337"
"Tshibinda",,"Africa-C","Cinder cones","-2.32","28.75","1460","POINT(28.75 -2.32)",,,"1338"
"Tskhouk-Karckar",,"Armenia","Pyroclastic cones","39.73","46.02","3000","POINT(46.02 39.73)",,,"1339"
"Tsurumi",,"Kyushu-Japan","Lava domes","33.28","131.43","1584","POINT(131.43 33.28)",,,"1340"
"Tujle, Cerro",,"Chile-N","Maar","-23.83","-67.95","3550","POINT(-67.95 -23.83)",,,"1341"
"Tullu Moje",,"Ethiopia","Pumice cone","8.16","39.13","2349","POINT(39.13 8.16)",,,"1342"
"Tumble Buttes",,"US-California","Cinder cones","40.68","-121.55","2191","POINT(-121.55 40.68)",,,"1343"
"Tungnafellsjökull",,"Iceland-NE","Stratovolcano","64.73","-17.92","1535","POINT(-17.92 64.73)",,,"1344"
"Tungurahua",,"Ecuador","Stratovolcano","-1.47","-78.44","5023","POINT(-78.44 -1.47)",,,"1345"
"Tunkin Depression",,"Russia-SE","Volcanic field","51.5","102.5","1200","POINT(102.5 51.5)",,,"1346"
"Tupungatito",,"Chile-C","Stratovolcano","-33.4","-69.8","6000","POINT(-69.8 -33.4)",,,"1347"
"Turrialba",,"Costa Rica","Stratovolcano","10.03","-83.77","3340","POINT(-83.77 10.03)",,,"1348"
"Tutuila",,"Samoa-SW Pacific","Tuff cones","-14.3","-170.7","653","POINT(-170.7 -14.3)",,,"1349"
"Tutupaca",,"Perú","Stratovolcano","-17.03","-70.36","5815","POINT(-70.36 -17.03)",,,"1350"
"Tuya Volc Field",,"Canada","Volcanic field","59.37","-130.58","2123","POINT(-130.58 59.37)",,,"1351"
"Tuzgle, Cerro",,"Argentina","Stratovolcano","-24.05","-66.48","5500","POINT(-66.48 -24.05)",,,"1352"
"Tuzovsky",,"Kamchatka","Shield volcanoes","57.32","159.97","1533","POINT(159.97 57.32)",,,"1353"
"Twin Buttes",,"US-California","Cinder cones","40.78","-121.59","1631","POINT(-121.59 40.78)",,,"1354"
"Ubehebe Craters",,"US-California","Maars","37.02","-117.45","752","POINT(-117.45 37.02)",,,"1355"
"Ubinas",,"Perú","Stratovolcano","-16.36","-70.9","5672","POINT(-70.9 -16.36)",,,"1356"
"Udina",,"Kamchatka","Stratovolcanoes","55.76","160.53","2923","POINT(160.53 55.76)",,,"1357"
"Udokan Plateau",,"Russia-SE","Pyroclastic cones","56.28","117.77","2180","POINT(117.77 56.28)",,,"1358"
"Ugashik-Peulik",,"Alaska Peninsula","Stratovolcano","57.75","-156.37","1474","POINT(-156.37 57.75)",,,"1359"
"Uinkaret Field",,"US-Arizona","Volcanic field","36.38","-113.13","1555","POINT(-113.13 36.38)",,,"1360"
"Uka",,"Kamchatka","Shield volcano","57.7","160.58","1643","POINT(160.58 57.7)",,,"1361"
"Ukinrek Maars",,"Alaska Peninsula","Maars","57.83","-156.51","91","POINT(-156.51 57.83)",,,"1362"
"Uksichan",,"Kamchatka","Shield volcano","56.08","158.38","1692","POINT(158.38 56.08)",,,"1363"
"Ulawun",,"New Britain-SW Pac","Stratovolcano","-5.05","151.33","2334","POINT(151.33 -5.05)",,,"1364"
